Desvíos,,,,,,,,,,,,
,,,,,,,,,,,,
"Placa/
Zona",C,Par,Ref,Centro,"C
Inv",Rojo,"R
Inv",Verde,"V
Inv","Estado
Inicial",Comentario,Pasado
1,A,1,1A1,A3,X,A1,X,,,,Metro interior derecha hacia estación interior,X
1,A,2,1A2,A2,X,,,,,,Metro hacia detras montaña,X
1,A,3,1A3,A4,X,,,,,R,Metro exterior hacia otra maqueta,X
1,A,4,1A4,C2,X,A2,X,,,R,Detrás montaña hacia otra maqueta,X
1,A,5,1A5,B3,,,,C3,,,Salida de la bajada exterior montaña,X
1,A,6,1A6,D4,,D2,,E4,,,Arriba estación rampa,X
1,B,1,1B1,E1,,,,A1,,,Estación interior interior hacia metro y montaña,X
1,B,2,1B2,C3,,,,E2,X,,Estación interior centro hacia montaña,X
1,B,3,1B3,E3,,C2,X,C4,X,,Estación interior exterior hacia montaña y detrás montaña,X
1,B,4,1B4,,,,,,,,,
1,B,5,1B5,K2,X,D2,X,E4,X,,Estación rampa hacia puente,X
1,B,6,1B6,A3,,F3,,F4,,,Metro interior izquierda hacia estación interior,X
2,A,1,2A1,F1,,E3,,E2,,,Estación interior izquierda fondo hacia tunel,X
2,A,2,2A2,E1,X,F3,X,F2,,,Estación interior izquierda frontal hacia tunel y metro,X
2,A,3,2A3,G3,X,F2,X,,,,Triple metro motor exterior,X
2,A,4,2A4,,,,,,,,,
2,A,5,2A5,J3,,J4,,G4,,,Playa,X
2,A,6,2A6,,,A4,X,F4,X,,Triple metro motor interior,X
2,B,1,2B1,F1,X,G1,,G2,,,Tunel bajo estacion a frontales exterior e interior,X
2,B,2,2B2,H1,X,H4,X,H3,X,,Izquierda a puerto y ciudad,X
2,B,3,2B3,H3,X,,,,,,Puerto interior derecha,X
2,B,4,2B4,G2,,H4,,,,,Frontal interior izquierda a puerto y ciudad,X
2,B,5,2B5,G3,,,,H2,,,Frontal exterior izquierda a puerto ext e int,X
2,B,6,2B6,J4,,G4,X,G1,X,,Ciudad interior,X
3,A,1,3A1,,,,,,,,,
3,A,2,3A2,,,,,,,,,
3,A,3,3A3,,,J2,X,,,,Rampa izquierda puente,X
3,A,4,3A4,K1,,,,H2,X,,Rampa exterior izquierda,X
3,A,5,3A5,H1,,,,,,,Triple rampa motor izquierdo,X
3,A,6,3A6,,,,,J2,,,Triple rampa motor derecho,X
3,B,1,3B1,,,,,,,,,
3,B,2,3B2,,,,,,,,,
3,B,3,3B3,,,,,,,,,
3,B,4,3B4,,,,,,,,,
3,B,5,3B5,,,,,,,,,
3,B,6,3B6,,,,,,,,,
4,A,1,4A1,,,,,,,,,
4,A,2,4A2,,,,,,,,,
4,A,3,4A3,,,,,,,,,
4,A,4,4A4,,,,,,,,,
4,A,5,4A5,,,,,,,,,
4,A,6,4A6,,,,,,,,,
4,B,1,4B1,,,,,,,,,
4,B,2,4B2,,,,,,,,,
4,B,3,4B3,,,,,,,,,
4,B,4,4B4,,,,,,,,,
4,B,5,4B5,,,,,,,,,
4,B,6,4B6,,,,,,,,,
